PERMNO,date,TICKER,COMNAM,PRC,vwretd
18163,7/31/1991,PG,PROCTER & GAMBLE CO,80.75,0.046795
18163,8/30/1991,PG,PROCTER & GAMBLE CO,83.5,0.026817
18163,9/30/1991,PG,PROCTER & GAMBLE CO,84.875,-0.010975
18163,10/31/1991,PG,PROCTER & GAMBLE CO,83.625,0.017815
18163,11/29/1991,PG,PROCTER & GAMBLE CO,81,-0.037275
18163,12/31/1991,PG,PROCTER & GAMBLE CO,93.875,0.106778
18163,1/31/1992,PG,PROCTER & GAMBLE CO,103.75,-0.001182
18163,2/28/1992,PG,PROCTER & GAMBLE CO,101.625,0.013354
18163,3/31/1992,PG,PROCTER & GAMBLE CO,102.25,-0.0237
18163,4/30/1992,PG,PROCTER & GAMBLE CO,103.25,0.013419
18163,5/29/1992,PG,PROCTER & GAMBLE CO,102.75,0.006439
18163,6/30/1992,PG,PROCTER & GAMBLE CO,46,-0.019271
18163,7/31/1992,PG,PROCTER & GAMBLE CO,50.625,0.0399
18163,8/31/1992,PG,PROCTER & GAMBLE CO,46.875,-0.02082
18163,9/30/1992,PG,PROCTER & GAMBLE CO,49.375,0.012447
18163,10/30/1992,PG,PROCTER & GAMBLE CO,52.875,0.010986
18163,11/30/1992,PG,PROCTER & GAMBLE CO,54.25,0.040193
18163,12/31/1992,PG,PROCTER & GAMBLE CO,53.625,0.017768
18163,1/29/1993,PG,PROCTER & GAMBLE CO,49.75,0.012644
18163,2/26/1993,PG,PROCTER & GAMBLE CO,52,0.005402
18163,3/31/1993,PG,PROCTER & GAMBLE CO,49.875,0.025116
18163,4/30/1993,PG,PROCTER & GAMBLE CO,49.125,-0.0254
18163,5/28/1993,PG,PROCTER & GAMBLE CO,49.125,0.029599
18163,6/30/1993,PG,PROCTER & GAMBLE CO,52,0.00544
18163,7/30/1993,PG,PROCTER & GAMBLE CO,48.75,-0.000792
18163,8/31/1993,PG,PROCTER & GAMBLE CO,48.375,0.039479
18163,9/30/1993,PG,PROCTER & GAMBLE CO,47.5,0.000641
