caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
20120928,0.02512,0.023547,0.024236
20121031,-0.017837,-0.019227,-0.019789
20121130,0.005326,0.002154,0.002847
20121231,0.008508,0.005902,0.007068
20130131,0.052361,0.051024,0.050428
20130228,0.013013,0.010511,0.011061
20130328,0.037584,0.036025,0.035988
20130430,0.019621,0.018482,0.018086
20130531,0.02312,0.020441,0.020763
20130628,-0.013601,-0.015262,-0.014999
20130731,0.050672,0.049287,0.049462
20130830,-0.029207,-0.031638,-0.031298
20130930,0.03166,0.030064,0.029749
20131031,0.046268,0.044953,0.044596
20131129,0.030817,0.028398,0.028049
20131231,0.02595,0.024196,0.023563
20140131,-0.034666,-0.035731,-0.035583
20140228,0.045757,0.043194,0.043117
20140331,0.008056,0.006537,0.006932
20140430,0.006555,0.005388,0.006201
20140530,0.023309,0.020895,0.02103
20140630,0.020635,0.019048,0.019058
20140731,-0.013974,-0.015278,-0.01508
20140829,0.039777,0.037446,0.037655
20140930,-0.013928,-0.015467,-0.015514
20141031,0.023972,0.0228,0.023201
20141128,0.027631,0.025159,0.024534
20141231,-0.002473,-0.004249,-0.004189
20150130,-0.02943,-0.030468,-0.031041
20150227,0.057008,0.054305,0.054893
20150331,-0.014993,-0.016628,-0.017396
20150430,0.0091,0.008004,0.008521
20150529,0.012522,0.010141,0.010491
20150630,-0.019343,-0.02102,-0.021012
20150731,0.021297,0.020101,0.019742
20150831,-0.060086,-0.062433,-0.062581
20150930,-0.024547,-0.026258,-0.026443
20151030,0.083449,0.082049,0.082983
20151130,0.003373,0.000817,0.000505
20151231,-0.015247,-0.017076,-0.01753
20160129,-0.0491,-0.05025,-0.050735
20160229,-0.001742,-0.004457,-0.004128
20160331,0.06734,0.065146,0.065991
20160429,0.003747,0.002576,0.002699
20160531,0.018487,0.015886,0.015329
20160630,0.002675,0.001002,0.000906
20160729,0.036571,0.035324,0.03561
20160831,0.001247,-0.001396,-0.001219
20160930,0.000446,-0.001033,-0.001234
20161031,-0.017958,-0.019206,-0.019426
20161130,0.03579,0.033007,0.034174
20161230,0.0192,0.017569,0.018201
20170131,0.019384,0.018311,0.017884
20170228,0.039459,0.037052,0.037198
20170331,0.001664,0.000055,-0.000389
20170428,0.010591,0.009439,0.009091
20170531,0.014552,0.01192,0.011576
20170630,0.005798,0.004364,0.004814
20170731,0.020696,0.019162,0.019349
20170831,0.002238,-0.000324,0.000546
20170929,0.02005,0.018742,0.019303
20171031,0.024158,0.023006,0.022188
20171130,0.031389,0.02886,0.028083
20171229,0.011149,0.009851,0.009832
20180131,0.05806,0.057018,0.056179
20180228,-0.037661,-0.039702,-0.038947
20180329,-0.025459,-0.027092,-0.026885
20180430,0.00377,0.002656,0.002719
20180531,0.0238,0.021317,0.021608
20180629,0.00684,0.005507,0.004842
20180731,0.037144,0.03597,0.036022
20180831,0.032938,0.030647,0.030263
20180928,0.005138,0.003758,0.004294
20181031,-0.068409,-0.069492,-0.069403
20181130,0.01998,0.017477,0.017859
20181231,-0.090928,-0.092457,-0.091777
